url,urlShortVersion,transmision,marca,modelo,version,carroceria
https://autos.mercadolibre.com.ar/fiat/500/fiat-500-sport,,manual,fiat,500,sport,hatchback
https://autos.mercadolibre.com.ar/fiat/fiat-500-lounge,,automatico,fiat,500,lounge,hatchback
https://autos.mercadolibre.com.ar/toyota/manual/corolla-xei-pack,,manual,toyota,corolla,xei-pack,sedán
https://autos.mercadolibre.com.ar/toyota/automatica/corolla-xei-pack,,automatico,toyota,corolla,xei-pack,sedán
https://autos.mercadolibre.com.ar/toyota/automatica/corolla-seg,,automatico,toyota,corolla,seg,sedán
https://autos.mercadolibre.com.ar/manual/mercedes-c200-city,,manual,mercedes,c200,city,sedán
https://autos.mercadolibre.com.ar/automatica/mercedes-c200-city,,automatico,mercedes,c200,city,sedán
https://autos.mercadolibre.com.ar/citroen-c-elysee-vti,,manual,citroen,c-elysee,feel-vti,sedán
https://autos.mercadolibre.com.ar/citroen-c-elysee-hdi,,manual,citroen,c-elysee,feel-hdi,sedán
https://autos.mercadolibre.com.ar/chevrolet/cruze/manual/cruze-ltz_DOORS_5-5,,manual,chevrolet,cruze,ltz,hatchback
https://autos.mercadolibre.com.ar/chevrolet/cruze/automatico/cruze-ltz_DOORS_5-5,,automatico,chevrolet,cruze,ltz,hatchback
https://autos.mercadolibre.com.ar/chevrolet/cruze/manual/cruze-ltz_DOORS_4-4,,manual,chevrolet,cruze,ltz,sedán
https://autos.mercadolibre.com.ar/chevrolet/cruze/automatico/cruze-ltz_DOORS_4-4,,automatico,chevrolet,cruze,ltz,sedán
https://autos.mercadolibre.com.ar/honda/civic/honda-civic,2187936,automatico,honda,civic,ex-i,sedán
https://autos.mercadolibre.com.ar/honda/civic/automatico/civic,2187732,automatico,honda,civic,exs,sedán
https://autos.mercadolibre.com.ar/honda/civic/manual/civic,2187732,manual,honda,civic,exs,sedán
https://listado.mercadolibre.com.ar/citroen-c4-picasso-thp#D[A:citroen%20c4%20picasso%20thp],,-,citroen,c4-picasso,-,monovolumen
https://autos.mercadolibre.com.ar/renault/sandero/sandero-rs,,manual,renault,sandero,rs,hatchback
https://autos.mercadolibre.com.ar/c4-lounge-thp-feel-pack,,manual,citroen,c4-lounge,feel-pack,sedán
https://autos.mercadolibre.com.ar/citroen/c4-lounge-shine,,automatico,citroen,c4-lounge,shine,sedán
https://autos.mercadolibre.com.ar/volkswagen/manual/vento-1.4,2160764,manual,volkswagen,vento,comfortline-1-4,sedán
https://autos.mercadolibre.com.ar/volkswagen/automatico/vento-1.4,2160764,automatico,volkswagen,vento,comfortline-1-4,sedán
https://autos.mercadolibre.com.ar/volkswagen/automatica/vento-1.4,2163309,automatico,volkswagen,vento,highline-1-4,sedán
https://autos.mercadolibre.com.ar/kia/cerato/automatica/kia-cerato,,automatico,kia,cerato,-,sedán
